_id,datetime,charge_MW
1,2018-10-16T00:00:00Z,0
2,2018-10-16T00:30:00Z,0
3,2018-10-16T01:00:00Z,0
4,2018-10-16T01:30:00Z,0
5,2018-10-16T02:00:00Z,0
6,2018-10-16T02:30:00Z,0
7,2018-10-16T03:00:00Z,0
8,2018-10-16T03:30:00Z,0
9,2018-10-16T04:00:00Z,0
10,2018-10-16T04:30:00Z,0
11,2018-10-16T05:00:00Z,0
12,2018-10-16T05:30:00Z,0
13,2018-10-16T06:00:00Z,0
14,2018-10-16T06:30:00Z,0
15,2018-10-16T07:00:00Z,0.05518529343232221
16,2018-10-16T07:30:00Z,0.11730402341513164
17,2018-10-16T08:00:00Z,0.20411085134892434
18,2018-10-16T08:30:00Z,0.34108647076669674
19,2018-10-16T09:00:00Z,0.4781010439708325
20,2018-10-16T09:30:00Z,0.5923564584449809
21,2018-10-16T10:00:00Z,0.7675581257208475
22,2018-10-16T10:30:00Z,0.8826135372640399
23,2018-10-16T11:00:00Z,0.9967670743298442
24,2018-10-16T11:30:00Z,1.0884515152863516
25,2018-10-16T12:00:00Z,1.1307648698323116
26,2018-10-16T12:30:00Z,1.0925553521254572
27,2018-10-16T13:00:00Z,1.0554378795199024
28,2018-10-16T13:30:00Z,0.9721322493439328
29,2018-10-16T14:00:00Z,0.8809138653381391
30,2018-10-16T14:30:00Z,0.7737232441294497
31,2018-10-16T15:00:00Z,0.5709381457308357
32,2018-10-16T15:30:00Z,-0.7683965049132317
33,2018-10-16T16:00:00Z,-1.0289832173706897
34,2018-10-16T16:30:00Z,-1.164443573233065
35,2018-10-16T17:00:00Z,-1.1793372805734448
36,2018-10-16T17:30:00Z,-1.4657169476920981
37,2018-10-16T18:00:00Z,-1.5586207614906358
38,2018-10-16T18:30:00Z,-1.3995909531166792
39,2018-10-16T19:00:00Z,-1.2351789821798986
40,2018-10-16T19:30:00Z,-0.9644155432837711
41,2018-10-16T20:00:00Z,-0.7456931004725575
42,2018-10-16T20:30:00Z,-0.48962313567393334
43,2018-10-16T21:00:00Z,0
44,2018-10-16T21:30:00Z,0
45,2018-10-16T22:00:00Z,0
46,2018-10-16T22:30:00Z,0
47,2018-10-16T23:00:00Z,0
48,2018-10-16T23:30:00Z,0
49,2018-10-17T00:00:00Z,0
50,2018-10-17T00:30:00Z,0
51,2018-10-17T01:00:00Z,0
52,2018-10-17T01:30:00Z,0
53,2018-10-17T02:00:00Z,0
54,2018-10-17T02:30:00Z,0
55,2018-10-17T03:00:00Z,0
56,2018-10-17T03:30:00Z,0
57,2018-10-17T04:00:00Z,0
58,2018-10-17T04:30:00Z,0
59,2018-10-17T05:00:00Z,0
60,2018-10-17T05:30:00Z,0
61,2018-10-17T06:00:00Z,0
62,2018-10-17T06:30:00Z,0
63,2018-10-17T07:00:00Z,0.02275723832652728
64,2018-10-17T07:30:00Z,0.0988676710997874
65,2018-10-17T08:00:00Z,0.14269679678831187
66,2018-10-17T08:30:00Z,0.2472699687206205
67,2018-10-17T09:00:00Z,0.43765429177741155
68,2018-10-17T09:30:00Z,0.5847092218558725
69,2018-10-17T10:00:00Z,0.709473595959181
70,2018-10-17T10:30:00Z,0.8393958177909614
71,2018-10-17T11:00:00Z,1.0663391249197356
72,2018-10-17T11:30:00Z,1.1787742241720804
73,2018-10-17T12:00:00Z,1.3058892884598328
74,2018-10-17T12:30:00Z,1.3072294953850963
75,2018-10-17T13:00:00Z,1.2943345904288326
76,2018-10-17T13:30:00Z,1.1271105096240361
77,2018-10-17T14:00:00Z,0.6837851336054481
78,2018-10-17T14:30:00Z,0.586523945805649
79,2018-10-17T15:00:00Z,0.36718908528061656
80,2018-10-17T15:30:00Z,-0.8913378594451196
81,2018-10-17T16:00:00Z,-1.1376483664141013
82,2018-10-17T16:30:00Z,-1.1891740691591046
83,2018-10-17T17:00:00Z,-1.3270526847188973
84,2018-10-17T17:30:00Z,-1.4537944868956165
85,2018-10-17T18:00:00Z,-1.449016339905997
86,2018-10-17T18:30:00Z,-1.3886533242991748
87,2018-10-17T19:00:00Z,-1.1930123167093574
88,2018-10-17T19:30:00Z,-0.8419841884264767
89,2018-10-17T20:00:00Z,-0.7149833930252867
90,2018-10-17T20:30:00Z,-0.41334297100086737
91,2018-10-17T21:00:00Z,0
92,2018-10-17T21:30:00Z,0
93,2018-10-17T22:00:00Z,0
94,2018-10-17T22:30:00Z,0
95,2018-10-17T23:00:00Z,0
96,2018-10-17T23:30:00Z,0
97,2018-10-18T00:00:00Z,0
98,2018-10-18T00:30:00Z,0
99,2018-10-18T01:00:00Z,0
100,2018-10-18T01:30:00Z,0
101,2018-10-18T02:00:00Z,0
102,2018-10-18T02:30:00Z,0
103,2018-10-18T03:00:00Z,0
104,2018-10-18T03:30:00Z,0
105,2018-10-18T04:00:00Z,0
106,2018-10-18T04:30:00Z,0
107,2018-10-18T05:00:00Z,0
108,2018-10-18T05:30:00Z,0
109,2018-10-18T06:00:00Z,0
110,2018-10-18T06:30:00Z,0
111,2018-10-18T07:00:00Z,0.02349269922559761
112,2018-10-18T07:30:00Z,0.06950946804968788
113,2018-10-18T08:00:00Z,0.17650749105078295
114,2018-10-18T08:30:00Z,0.30887021591010816
115,2018-10-18T09:00:00Z,0.4795649334639668
116,2018-10-18T09:30:00Z,0.7548080977117535
117,2018-10-18T10:00:00Z,0.954467981861199
118,2018-10-18T10:30:00Z,1.0550170124192702
119,2018-10-18T11:00:00Z,1.1173096448039503
120,2018-10-18T11:30:00Z,1.1122905390843605
121,2018-10-18T12:00:00Z,1.1143674081928012
122,2018-10-18T12:30:00Z,1.09997087660934
123,2018-10-18T13:00:00Z,0.990883719243036
124,2018-10-18T13:30:00Z,0.7874217688685676
125,2018-10-18T14:00:00Z,0.8124729490490268
126,2018-10-18T14:30:00Z,0.6504935538515917
127,2018-10-18T15:00:00Z,0.49255164060496004
128,2018-10-18T15:30:00Z,-0.8607010371892736
129,2018-10-18T16:00:00Z,-1.0584784807556118
130,2018-10-18T16:30:00Z,-1.1272907711788043
131,2018-10-18T17:00:00Z,-1.3324565880753094
132,2018-10-18T17:30:00Z,-1.4696104926836409
133,2018-10-18T18:00:00Z,-1.534127965683636
134,2018-10-18T18:30:00Z,-1.3829613106422594
135,2018-10-18T19:00:00Z,-1.2321058262209523
136,2018-10-18T19:30:00Z,-0.9152727812753727
137,2018-10-18T20:00:00Z,-0.6770607802760922
138,2018-10-18T20:30:00Z,-0.4099339660190524
139,2018-10-18T21:00:00Z,0
140,2018-10-18T21:30:00Z,0
141,2018-10-18T22:00:00Z,0
142,2018-10-18T22:30:00Z,0
143,2018-10-18T23:00:00Z,0
144,2018-10-18T23:30:00Z,0
145,2018-10-19T00:00:00Z,0
146,2018-10-19T00:30:00Z,0
147,2018-10-19T01:00:00Z,0
148,2018-10-19T01:30:00Z,0
149,2018-10-19T02:00:00Z,0
150,2018-10-19T02:30:00Z,0
151,2018-10-19T03:00:00Z,0
152,2018-10-19T03:30:00Z,0
153,2018-10-19T04:00:00Z,0
154,2018-10-19T04:30:00Z,0
155,2018-10-19T05:00:00Z,0
156,2018-10-19T05:30:00Z,0
157,2018-10-19T06:00:00Z,0
158,2018-10-19T06:30:00Z,0
159,2018-10-19T07:00:00Z,0.036971958164558304
160,2018-10-19T07:30:00Z,0.12551521655041184
161,2018-10-19T08:00:00Z,0.2679362883438015
162,2018-10-19T08:30:00Z,0.3909985036658874
163,2018-10-19T09:00:00Z,0.43273085840908027
164,2018-10-19T09:30:00Z,0.5660767053822156
165,2018-10-19T10:00:00Z,0.5506266367087918
166,2018-10-19T10:30:00Z,0.6165743693839508
167,2018-10-19T11:00:00Z,0.6976604845408356
168,2018-10-19T11:30:00Z,0.982214966017653
169,2018-10-19T12:00:00Z,1.2336927661736892
170,2018-10-19T12:30:00Z,1.2477250314785786
171,2018-10-19T13:00:00Z,1.2037034365839152
172,2018-10-19T13:30:00Z,1.2026479623358568
173,2018-10-19T14:00:00Z,1.0963260265701102
174,2018-10-19T14:30:00Z,0.8057338799800988
